2008-03-01,2773.08,383.731,369.812
2008-04-01,2788.33,386.38,373.031
2008-05-01,2810.36,392.592,380.582
2008-06-01,2831.16,400.382,387.906
2008-07-01,2846.16,407.446,393.556
2008-08-01,2854.13,406.127,398.202
2008-09-01,2861.55,406.557,401.975
2008-10-01,2874.43,410.524,405.09
2008-11-01,2884.78,412.104,407.109
2008-12-01,2892.86,411.575,407.807
2009-01-01,2906.74,409.782,409.166
2009-02-01,2922.73,410.849,410.262
2009-03-01,2928.57,407.808,409.216
2009-04-01,2942.63,407.181,409.042
2009-05-01,2956.46,406.885,414.742
2009-06-01,2967.1,406.486,417.657
2009-07-01,2974.22,404.718,418.757
2009-08-01,2978.68,403.253,418.528
2009-09-01,2985.83,404.945,419.147
2009-10-01,2994.19,405.129,419.405
2009-11-01,3006.47,405.548,420.635
2009-12-01,3017.59,404.499,421.051
2010-01-01,3040.22,407.049,423.74
2010-02-01,3063.93,411.843,425.268
2010-03-01,3079.86,415.734,428.476
2010-04-01,3097.42,418.917,432.079
2010-05-01,3110.74,423.885,439.914
2010-06-01,3110.74,427.489,444.718
2010-07-01,3111.05,428.15,446.688
2010-08-01,3112.29,431.445,447.296
2010-09-01,3126.29,436.423,448.222
2010-10-01,3149.74,440.829,449.103
2010-11-01,3175.88,447.206,450.763
2010-12-01,3195.89,450.301,453.766
2011-01-01,3222.42,453.875,455.619
2011-02-01,3248.2,458.397,456.917
2011-03-01,3273.86,461.249,458.887
2011-04-01,3299.07,463.311,463.766
2011-05-01,3314.58,465.311,477.405
2011-06-01,3319.55,464.463,479.183
2011-07-01,3324.86,463.927,481.33
2011-08-01,3337.16,465.968,481.966
2011-09-01,3354.85,468.975,482.658
2011-10-01,3369.28,471.466,483.758
2011-11-01,3386.8,473.808,487.221
2011-12-01,3403.73,473.252,487.749
2012-01-01,3422.79,474.429,492.106
2012-02-01,3438.19,474.138,493.584
2012-03-01,3445.41,476.166,496.079
2012-04-01,3467.46,480.229,499.791
2012-05-01,3479.94,485.14,509.184
2012-06-01,3482.72,488.342,512.903
2012-07-01,3497.7,494.891,516.318
2012-08-01,3512.04,501.957,517.657
2012-09-01,3532.06,506.804,518.816
2012-10-01,3552.9,506.926,519.907
2012-11-01,3574.22,506.795,521.638
2012-12-01,3602.46,510.252,522.474
2013-01-01,3633.44,511.977,525.85
2013-02-01,3655.24,513.467,529.029
2013-03-01,3672.42,514.526,531.691
2013-04-01,3692.62,515.276,535.601
2013-05-01,3706.28,515.299,547.655
2013-06-01,3715.92,519.153,553.948
2013-07-01,3717.03,520.508,556.6
2013-08-01,3725.95,521.27,558.34
2013-09-01,3738.99,529.085,560.767
2013-10-01,3760.3,533.621,562.241
2013-11-01,3780.61,535.168,564.201
2013-12-01,3815.39,538.37,564.765
2014-01-01,3836.37,540.959,569.72
2014-02-01,3862.84,543.038,571.577
2014-03-01,3898.38,552.087,573.156
2014-04-01,3924.5,556.42,578.224
2014-05-01,3942.55,555.679,590.099
2014-06-01,3958.32,551.554,594.013
2014-07-01,3958.72,548.202,598.441
2014-08-01,3968.62,546.745,598.898
2014-09-01,3991.24,547.839,599.823
2014-10-01,4008,549.396,600.865
2014-11-01,4028.44,554.769,603.524
2014-12-01,4059.86,558.213,604.026
2015-01-01,4110.2,562.482,609.568
2015-02-01,4160.34,564.004,611.447
2015-03-01,4215.26,569.536,615.248
2015-04-01,4245.19,576.175,618.06
2015-05-01,4276.6,578.516,623.951
2015-06-01,4310.39,582.401,635.403
2015-07-01,4337.11,586.426,638.88
2015-08-01,4346.65,588.042,642.644
2015-09-01,4370.12,593.606,644.046
2015-10-01,4405.95,604.832,646.355
2015-11-01,4450.45,614.051,648.542
2015-12-01,4493.17,617.044,649.216
2016-01-01,4550.23,624.06,651.759
2016-02-01,4591.18,632.114,655.263
2016-03-01,4610.92,635.349,659.446
2016-04-01,4639.05,637.434,663.057
2016-05-01,4675.23,642.651,663.61
2016-06-01,4691.59,653.496,676.42
2016-07-01,4715.99,654.641,679.751
2016-08-01,4736.74,655.602,681.756
2016-09-01,4740.53,656.894,684.025
2016-10-01,4752.86,657.927,685.489
2016-11-01,4761.42,657.752,686.607
2016-12-01,4775.7,661.304,688.985
2017-01-01,4793.85,665.542,691.792
2017-02-01,4809.67,666.099,696.314
2017-03-01,4821.69,666.197,697.41
2017-04-01,4828.44,658.898,697.244
2017-05-01,4843.41,652.758,701.664
2017-06-01,4832.27,648.409,708.197
2017-07-01,4843.87,643.766,710.355
2017-08-01,4853.07,644.383,712.884
2017-09-01,4860.83,647.4,713.33
2017-10-01,4881.25,648.672,715.527
2017-11-01,4894.92,652.073,717.751
2017-12-01,4916.46,657.859,718.276
2018-01-01,4930.72,662.826,720.495
2018-02-01,4946.5,663.311,721.414
2018-03-01,4950.95,667.524,723.163
2018-04-01,4961.84,671.327,725.245
2018-05-01,4981.69,680.579,726.923
2018-06-01,5044.46,693.287,733.984
2018-07-01,5061.11,696.8,738.487
2018-08-01,5056.56,701.677,739.583
2018-09-01,5080.83,712.373,741.305
2018-10-01,5103.69,718.684,743.866
2018-11-01,5092.97,715.166,744.865
2018-12-01,5100.61,707.441,745.856
2019-01-01,5116.93,707.488,749.517
2019-02-01,5138.93,713.747,750.18
2019-03-01,5177.47,722.707,752.524
2019-04-01,5206.98,729.346,755.373
2019-05-01,5213.75,732.595,755.625
2019-06-01,5214.27,738.421,762.304
2019-07-01,5224.18,741.346,766.699
2019-08-01,5229.93,736.402,769.951
2019-09-01,5227.84,736.362,773.52
2019-10-01,5233.07,741.333,774.939
2019-11-01,5259.76,743.558,775.225
2019-12-01,5320.25,759.112,776.839
2020-01-01,5331.42,762.733,779.766
2020-02-01,5344.75,762.423,782.336
2020-03-01,5348.49,771.908,784.338
2020-04-01,5331.91,778.101,786.07
2020-05-01,5311.65,780.28,787.666
2020-06-01,5325.46,792.429,790.331
2020-07-01,5344.63,810.083,799.589
2020-08-01,5357.46,832.313,805.356
2020-09-01,5391.75,868.442,814.701
2020-10-01,5438.12,896.505,828.778
2020-11-01,5486.52,925.887,839.382
2020-12-01,5560.59,934.758,845.268
2021-01-01,5574.49,958.844,852.809
2021-02-01,5622.43,983.063,868.929
2021-03-01,5674.72,1011.948,880.265
2021-04-01,5692.31,1027.211,888.191
2021-05-01,5739.56,1069.289,907.899
2021-06-01,5769.98,1075.733,927.512
2021-07-01,5825.37,1084.095,935.359
2021-08-01,5876.05,1091.29,939.699
2021-09-01,5944.21,1084.312,944.52
2021-10-01,6018.51,1091.283,952.596
2021-11-01,6075.69,1091.483,959.001
2021-12-01,6120.04,1100.988,962.321
2022-01-01,6153.09,1120.999,969.184
2022-02-01,6215.24,1141.546,972.904
2022-03-01,6315.93,1161.418,981.244
2022-04-01,6382.88,1177.809,990.543
2022-05-01,6412.88,1183.953,1013.164
2022-06-01,6455.85,1190.882,1034.824
2022-07-01,6411.95,1193.337,1043.76
2022-08-01,6388.87,1185.004,1044.679
2022-09-01,6370.34,1173.793,1045.616
2022-10-01,6407.93,1162.391,1046.896
2022-11-01,6434.2,1155.829,1050.701
2022-12-01,6474.09,1161.006,1051.632
2023-01-01,6508.4,1163.465,1056.418
2023-02-01,6563.07,1162.761,1056.896
2023-03-01,6609.67,1163.359,1060.116
2023-04-01,6649.99,1152.307,1061.635
2023-05-01,6665.28,1131.058,1067.919
2023-06-01,6659.95,1109.23,1075.54
2023-07-01,6667.94,1101.204,1076.626
2023-08-01,6683.28,1099.71,1078.412
2023-09-01,6700.66,1103.74,1082.104
2023-10-01,6716.74,1109.236,1084.242
2023-11-01,6735.55,1115.815,1084.986
2023-12-01,6773.27,1124.072,1088.312
2024-01-01,6801.72,1124.879,1091.25
2024-02-01,6858.17,1119.061,1092.685
2024-03-01,6869.14,1113.837,1095.738
